station,window_start,window_end,amb_resets,cn0,code_wrms,h_conv,mp1,mp2,mp5,mw12,mw15,mw25,phase_wrms,satellite_gaps,uptime,v_conv,score,rank
KIT3,2019-01-01,2025-12-31,0.9323225532465113,0.8865114744549605,0.5152749745218919,0.8712799721996989,0.39710045336807853,0.38350923844528995,0.3226448417688744,0.4700906595463735,0.40492601726579497,0.53974131623743,0.5805904570932571,0.11890878850481734,0.9569808369182636,0.8617383576253111,0.6698091159834828,94
POAL,2019-01-01,2025-12-31,0.9161414849057532,0.8979734067352664,0.29054975710224695,0.8539056932723207,0.4145539391425758,0.35617485497089285,0.28467738080463,0.33398693903098636,0.3490126501823638,0.3766112155029367,0.5788483253482586,0.5301829668386716,0.9890496675791943,0.8458694964444383,0.6677650180231307,95
PIMO,2019-01-01,2025-12-31,0.8062597967741791,0.7867380308198406,0.36151242706356224,0.8495417995923881,0.7308477969333605,0.6860490676355687,0.5553842903335211,0.7922601340075205,0.7099394435018075,0.7379989200409575,0.6479367830948588,0.19069647357999298,0.9155260070394994,0.8445601628311221,0.6671188592388718,96
SULP,2019-01-01,2025-12-31,0.917269566446724,0.9446075899587446,0.20083553838687096,0.8361136722351581,0.4505736650733154,0.48867237586083057,0.37899358212245915,0.26512800359192057,0.21976152713051428,0.46303167412236085,0.6472117000705565,0.43587650453701066,0.5627688697692609,0.8396899429283967,0.6648659401496071,97
NKLG,2019-01-01,2025-12-31,0.867802730816198,0.8677730462808861,0.7010637684998452,0.8698363018171175,0.32390576160702605,0.3203418821622807,0.322193194685358,0.25468537435601857,0.2836550788772694,0.4276472524225479,0.47269791359461666,0.7601866582060955,0.9839655846695347,0.8677700228042291,0.6619362891226784,98
VOIM,2019-01-01,2025-12-31,0.9257217632000487,0.8899702718474981,0.3796928183390353,0.8391364132446766,0.7760663728368459,0.4553840000035951,0.26991950464457526,0.7638932205609339,0.5893000807106743,0.6195033184620857,0.5509727978283447,0.37863271630831863,0.9225655064528745,0.8403494016791347,0.6601255221278008,99
MCM4,2019-01-01,2025-12-31,0.28204026404704274,0.8932241112006796,0.5121774720292026,0.9160394815269511,0.7802411913090261,0.6894100295427662,0.444133844447106,0.8091759159531773,0.6245402377555853,0.6654313113401039,0.9485351483558754,0.44901289616667217,0.9960891669925694,0.8800202036748846,0.6587350743890367,100
ASCG,2019-01-01,2025-12-31,0.8426338496987218,0.8931219952791022,0.6142401616829058,0.8485214880744404,0.5110167604047992,0.3948166326784626,0.33303818533848695,0.2158845193744774,0.3060017687730713,0.3915192126375036,0.5437908505662312,0.30882535269736366,0.9644114196323818,0.81877504373836,0.6585822681301369,101
PERT,2019-01-01,2025-12-31,0.8563968976163487,0.898205028393373,0.3987190594315275,0.8659519135737808,0.4200724862486871,0.3703028463400876,0.29166929436769745,0.23466548447151966,0.20943709024511636,0.27693274331167755,0.5728148602493613,0.2405423317312506,0.9734063355494721,0.8418154117104399,0.6517021080331044,102
CRO1,2019-01-01,2025-12-31,0.7333089233325198,0.8908385461178381,0.6024880865925021,0.6178600713605035,0.49970166259038185,0.4886706680117868,0.3995641218034083,0.49502968093983735,0.4653117850691475,0.5853695867174937,0.5837253714520545,0.4014067585873834,1.0,0.838740393117051,0.6487900918549473,103
